,score,topics,combination,num_features,region
0,0.5297347391449327,['topic59'],"(29,)",1,0
1,0.5450924789556619,"['topic50', 'topic59']","(25, 29)",2,0
2,0.5543885456850415,"['topic44', 'topic50', 'topic59']","(21, 25, 29)",3,0
3,0.5611195314924642,"['topic39', 'topic44', 'topic50', 'topic59']","(18, 21, 25, 29)",4,0
4,0.5646457336105157,"['topic15', 'topic39', 'topic44', 'topic50', 'topic59']","(4, 18, 21, 25, 29)",5,0
5,0.567557839178439,"['topic29', 'topic39', 'topic44', 'topic50', 'topic58', 'topic59']","(11, 18, 21, 25, 28, 29)",6,0
6,0.5707911641586589,"['topic15', 'topic29', 'topic32', 'topic39', 'topic44', 'topic50', 'topic59']","(4, 11, 13, 18, 21, 25, 29)",7,0
7,0.5725402299634876,"['topic15', 'topic29', 'topic39', 'topic44', 'topic50', 'topic58', 'topic59', 'topic7']","(4, 11, 18, 21, 25, 28, 29, 31)",8,0
