,n_clusters,silhouette_score
0,3,0.07461098529030127
1,4,0.05802403380337219
2,5,0.06088270122281827
3,6,0.06088270122281827
4,7,0.05842192401266638
5,8,0.047165992452202474
6,9,0.04188176484469577
7,10,0.04188176484469577
8,11,0.03299504337029677
9,12,0.044292610008562924
10,13,0.03898698439552329
11,14,0.03898698439552329
12,15,0.046468519837779144
13,16,0.05073975386818093
14,17,0.05073975386818093
15,18,0.05073975386818093
16,19,0.05073975386818093
17,20,0.05073975386818093
18,21,0.04430730238445747
19,22,0.04430730238445747
20,23,0.04430730238445747
21,24,0.038689640676797594
22,25,0.039267769628125435
23,26,0.043028454074687306
24,27,0.043028454074687306
25,28,0.04808671866709044
26,29,0.04808671866709044
27,30,0.04808671866709044
28,31,0.04808671866709044
29,32,0.047700643882144234
30,33,0.058359974405190244
31,34,0.058359974405190244
32,35,0.058359974405190244
33,36,0.058359974405190244
34,37,0.058359974405190244
35,38,0.058359974405190244
36,39,0.05916338828277732
37,40,0.05916338828277732
