,n_clusters,silhouette_score
0,41,0.06000919942869581
1,42,0.06754903022775208
2,43,0.06611788873485433
3,48,0.06424372502716787
4,50,0.07011378388559458
5,53,0.06926691127447873
6,62,0.07129041422965705
7,65,0.0710621589771831
8,66,0.07613549308745418
9,67,0.07778544498893515
10,70,0.0765190807329088
11,75,0.0790680591634572
12,78,0.07986248885056992
13,79,0.08019483733116578
14,80,0.0799872051768187
15,81,0.08016245768559196
16,82,0.08096143371134734
17,83,0.08231941309938125
18,84,0.0822011014548759
19,89,0.08430868947199892
20,90,0.08383478712157874
21,97,0.08531282407144854
22,98,0.084101092118753
23,101,0.08507978402106292
24,103,0.08782227135826323
25,105,0.08935544280549952
26,107,0.0906837635158953
27,108,0.09224566461665361
28,109,0.09269698672801907
29,110,0.09462233780752122
30,111,0.09438022824904192
