,score,num_features,feature,region,boot_n
0,0.5301957370555836,0,topic59,0,0
1,0.5492535524321871,1,topic44,0,0
2,0.5622034627533338,2,topic50,0,0
3,0.5708258659054237,3,topic39,0,0
4,0.574668413223149,4,topic58,0,0
5,0.5792579001472583,5,topic7,0,0
6,0.5826157189791309,6,topic32,0,0
7,0.5845309118726086,7,topic37,0,0
8,0.5867798166298377,8,topic12,0,0
9,0.5873613717890674,9,topic5,0,0
10,0.588744543671271,10,topic27,0,0
11,0.5892249297247882,11,topic35,0,0
12,0.5894419927193906,12,topic6,0,0
13,0.5901424487231592,13,topic48,0,0
14,0.5925679476313573,14,topic49,0,0
15,0.5938660405693987,15,topic23,0,0
16,0.5935352684650103,16,topic10,0,0
17,0.5964037897553798,17,topic20,0,0
18,0.5994556134754333,18,topic15,0,0
19,0.6008608730917341,19,topic53,0,0
20,0.601775118006462,20,topic2,0,0
21,0.6005180340288698,21,topic9,0,0
22,0.6008817235657833,22,topic38,0,0
23,0.599425579229821,23,topic30,0,0
24,0.5969008498228672,24,topic57,0,0
25,0.5950266716255983,25,topic40,0,0
26,0.5930941696156213,26,topic29,0,0
27,0.5929693069610509,27,topic11,0,0
28,0.5923388559873192,28,topic19,0,0
29,0.5891008088175822,29,topic1,0,0
30,0.5891081496939912,30,topic26,0,0
31,0.5864586735948721,31,topic4,0,0
32,0.5799165145777978,32,topic34,0,0
33,0.5630562226894795,0,topic23,1,0
34,0.5733464228000635,1,topic15,1,0
35,0.5857624057832514,2,topic35,1,0
36,0.5930723597475653,3,topic7,1,0
37,0.6017942373860354,4,topic58,1,0
38,0.6045568696855418,5,topic20,1,0
39,0.6109328174455924,6,topic27,1,0
40,0.6167250665247538,7,topic38,1,0
41,0.6205405220467761,8,topic4,1,0
42,0.6204509373587535,9,topic59,1,0
43,0.6219105037029241,10,topic30,1,0
44,0.621360721805459,11,topic49,1,0
45,0.6204350075843426,12,topic19,1,0
46,0.6207720707239865,13,topic9,1,0
47,0.6224702093507487,14,topic40,1,0
48,0.6202655361538858,15,topic57,1,0
49,0.621006328430029,16,topic48,1,0
50,0.6201549372846032,17,topic32,1,0
51,0.618676696327082,18,topic29,1,0
52,0.616147357790106,19,topic11,1,0
53,0.6229967865499162,20,topic12,1,0
54,0.6254121435546358,21,topic44,1,0
55,0.6271286154289046,22,topic10,1,0
56,0.6274709383231081,23,topic50,1,0
57,0.6245876861926661,24,topic26,1,0
58,0.6247577152031258,25,topic1,1,0
59,0.6206056629816448,26,topic53,1,0
60,0.6168508614382937,27,topic5,1,0
61,0.599372533107436,28,topic6,1,0
62,0.6029882851924957,29,topic37,1,0
63,0.6069841933763167,30,topic34,1,0
64,0.6089382383789708,31,topic2,1,0
65,0.6101670404458399,32,topic39,1,0
66,0.5599182220813899,0,topic15,2,0
67,0.5801805771849597,1,topic37,2,0
68,0.5935576715900845,2,topic57,2,0
69,0.6008964367416664,3,topic49,2,0
70,0.6053379133519418,4,topic44,2,0
71,0.6094970417981005,5,topic53,2,0
72,0.6160637241586148,6,topic32,2,0
73,0.6186804866848562,7,topic59,2,0
74,0.6213339999551212,8,topic58,2,0
75,0.624607862014892,9,topic19,2,0
76,0.6257192129733012,10,topic38,2,0
77,0.6268861258323691,11,topic9,2,0
78,0.6281478414463566,12,topic39,2,0
79,0.628430291414504,13,topic11,2,0
80,0.6287313939048935,14,topic26,2,0
81,0.6296343962706081,15,topic4,2,0
82,0.6301613797249574,16,topic1,2,0
83,0.6292774486476633,17,topic50,2,0
84,0.629259237378434,18,topic48,2,0
85,0.627981732531675,19,topic20,2,0
86,0.6297501830236134,20,topic23,2,0
87,0.6284151695296405,21,topic7,2,0
88,0.6287166682993744,22,topic35,2,0
89,0.6281906241814128,23,topic40,2,0
90,0.6286988417594338,24,topic34,2,0
91,0.6277204701696748,25,topic29,2,0
92,0.6270254088738931,26,topic27,2,0
93,0.6269132776624083,27,topic12,2,0
94,0.6261801752871776,28,topic5,2,0
95,0.6247695889610989,29,topic10,2,0
96,0.623678509065922,30,topic6,2,0
97,0.6226445643320874,31,topic30,2,0
98,0.6215533601460456,32,topic2,2,0
99,0.5337493227645497,0,topic23,3,0
100,0.5451060753648334,1,topic29,3,0
101,0.5536023690606692,2,topic4,3,0
102,0.558638389450989,3,topic58,3,0
103,0.5640550457150776,4,topic1,3,0
104,0.5691509225580682,5,topic15,3,0
