sil,n_clusters
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.1278789981394239,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.1202450435534687,2
0.12612162412914502,2
0.12612162412914502,2
0.1202450435534687,2
0.12612162412914502,2
0.1202450435534687,2
0.1202450435534687,2
0.1202450435534687,2
0.1202450435534687,2
0.12612162412914502,2
0.1202450435534687,2
0.1202450435534687,2
0.1202450435534687,2
0.1202450435534687,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.1359160434916382,2
0.1202450435534687,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.1202450435534687,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.12612162412914502,2
0.1359160434916382,2
0.1202450435534687,2
0.1359160434916382,2
0.1202450435534687,2
0.1359160434916382,2
0.1202450435534687,2
0.1202450435534687,2
0.1359160434916382,2
0.1202450435534687,2
0.1202450435534687,2
0.1359160434916382,2
0.11853431786394802,2
0.1359160434916382,2
0.1359160434916382,2
0.1359160434916382,2
0.1202450435534687,2
0.1359160434916382,2
0.11853431786394802,2
0.11853431786394802,2
0.1202450435534687,2
0.11853431786394802,2
0.1202450435534687,2
0.1202450435534687,2
0.1359160434916382,2
0.1202450435534687,2
0.11853431786394802,2
0.1359160434916382,2
0.11853431786394802,2
0.1202450435534687,2
0.137264306672971,2
0.11853431786394802,2
0.1202450435534687,2
0.1359160434916382,2
0.1202450435534687,2
0.1359160434916382,2
0.137264306672971,2
0.1202450435534687,2
0.1359160434916382,2
0.1202450435534687,2
0.11853431786394802,2
0.11853431786394802,2
0.1202450435534687,2
0.11853431786394802,2
0.137264306672971,2
