,score,num_features,feature,region,boot_n
0,0.5249945697325613,0,topic11,0,0
1,0.5410297332906311,1,topic39,0,0
2,0.5547348254633653,2,topic30,0,0
3,0.5594445188739009,3,topic9,0,0
4,0.5646053726000244,4,topic25,0,0
5,0.5681680266117457,5,topic27,0,0
6,0.5724032113183509,6,topic35,0,0
7,0.5752046699947644,7,topic1,0,0
8,0.5768625288821524,8,topic36,0,0
9,0.5789147846143655,9,topic18,0,0
10,0.5806820272769424,10,topic19,0,0
11,0.5840381725780392,11,topic8,0,0
12,0.583069180329977,12,topic37,0,0
13,0.5829359042588799,13,topic20,0,0
14,0.5823948835870453,14,topic7,0,0
15,0.5827771548164402,15,topic24,0,0
16,0.5824167841242762,16,topic6,0,0
17,0.581366777174591,17,topic34,0,0
18,0.5811157902576157,18,topic28,0,0
19,0.5787287043672562,19,topic15,0,0
20,0.5766685069239653,20,topic4,0,0
21,0.5745395800434633,21,topic29,0,0
22,0.530513848181912,0,topic11,0,1
23,0.5509179722331223,1,topic39,0,1
24,0.5649654060210036,2,topic30,0,1
25,0.5695266652235839,3,topic19,0,1
26,0.5719754569397026,4,topic15,0,1
27,0.575542999296293,5,topic9,0,1
28,0.5793780072329567,6,topic27,0,1
29,0.5802034242512824,7,topic7,0,1
30,0.5825940827870495,8,topic29,0,1
31,0.5853236250120138,9,topic25,0,1
32,0.5883808096887008,10,topic18,0,1
33,0.5904631883730496,11,topic34,0,1
34,0.592079573228279,12,topic24,0,1
35,0.593734189157073,13,topic37,0,1
36,0.5936015491979136,14,topic28,0,1
37,0.5912649123140573,15,topic6,0,1
38,0.5910967222033673,16,topic35,0,1
39,0.5902041357189813,17,topic1,0,1
40,0.5919159286580923,18,topic8,0,1
41,0.591615495476408,19,topic20,0,1
42,0.5924766272217253,20,topic4,0,1
43,0.5875550957097464,21,topic36,0,1
44,0.528794265200857,0,topic11,0,2
45,0.5507175580064495,1,topic39,0,2
46,0.5596894237810366,2,topic19,0,2
47,0.5656682347030055,3,topic30,0,2
48,0.5715000148590281,4,topic29,0,2
49,0.574701794751772,5,topic34,0,2
50,0.5760552139714481,6,topic9,0,2
51,0.577103829449844,7,topic8,0,2
52,0.577400497868638,8,topic6,0,2
53,0.5787819045641438,9,topic28,0,2
54,0.5786152455583352,10,topic36,0,2
55,0.5784429083066638,11,topic35,0,2
56,0.578199300760926,12,topic24,0,2
57,0.5781913958728623,13,topic18,0,2
58,0.5783459695575057,14,topic37,0,2
59,0.5773474209568785,15,topic4,0,2
60,0.576992278409304,16,topic15,0,2
61,0.5770479308380185,17,topic7,0,2
62,0.5793473586652264,18,topic27,0,2
63,0.5812495106710249,19,topic1,0,2
64,0.583348022390783,20,topic20,0,2
65,0.5842185280464922,21,topic25,0,2
66,0.5264611669376074,0,topic11,0,3
